QS54	36.8	105.3	1836
QS55	37.0	107.6	1638
QS56	37.6	108.3	1358
QS57	37.4	104.8	1263
QS58	37.3	105.8	1289
QS59	35.8	104.6	1813
QS60	34.2	104.9	1729
QS61	35.1	106.0	1708
QS62	35.2	105.1	1833
QS64	35.5	108.5	1571
QS65	31.4	104.9	477
SCAXI	31.6	104.4	587
SCBZH	31.8	106.7	442
SCCD2	30.9	103.8	653
SCCXI	31.7	106.0	458
SCJJS	31.0	104.5	908
SCJMG	32.2	105.6	801
SCJZG	33.3	104.2	1442
SCMXI	31.7	103.9	1584
SCPWU	32.4	104.5	882
SCQCH	32.6	105.2	800
SCSPA	32.6	103.6	2905
SCWCA	32.2	106.2	610
SCWCH	31.5	103.6	1315
SCXCO	31.0	105.9	336
SCXHA	31.4	107.7	390
SCYTI	31.2	105.4	385
SCYZP	30.9	103.6	766
SCZJG	31.8	104.7	612
SD01	36.9	112.4	1364
SD04	36.4	109.2	1032
SD05	35.9	108.9	1040
SD06	36.1	109.6	1157
SD07	36.5	110.1	1070
SD09	36.0	112.7	1016
SD11	35.5	110.8	554
SD12	36.0	110.4	887
SD13	35.7	109.6	1188
SD14	34.9	110.0	393
SD15	34.7	109.3	362
SD16	33.7	109.2	1137
SD17	33.9	110.1	845
SD18	34.4	111.1	725
SD19	34.8	112.0	354
SD20	34.9	112.8	117
SD201	35.9	113.0	1009
SD202	35.2	112.8	230
SD203	35.0	111.7	527
SD204	33.8	113.0	164
SD205	33.1	112.6	125
SD206	32.4	113.5	127
SD207	32.3	112.1	108
SD208	31.5	112.9	191
SD209	31.8	111.9	131
SD21	34.4	111.8	99
SD211	31.5	110.4	1745
SD212	31.6	109.3	674
SD213	32.3	110.8	836
SD215	33.1	108.8	671
SD216	33.2	110.1	344
SD217	33.0	110.9	409
SD218	33.8	111.5	985
SD219	33.7	110.4	700
SD220	34.5	110.6	708
SD221	35.1	108.7	1117
SD222	36.0	109.3	1191
SD223	35.7	111.0	736
SD224	36.1	110.0	1204
SD225	36.3	110.5	937
SD226	36.6	109.7	1081
SD227	36.6	108.7	1159
SD228	37.2	108.8	1469
SD229	37.0	109.9	914
SD23	34.0	112.6	398
SD24	33.9	112.2	604
SD25	33.5	111.7	447
SD26	33.1	109.2	414
SD27	32.2	109.1	716
SD28	33.3	111.1	353
SD29	33.5	112.7	191
SD30	33.0	113.0	112
SD31	32.6	112.2	88
SD31B	34.2	113.2	224
SD32	32.6	113.9	136
SD33	32.3	112.8	136
SD33B	32.6	110.0	441
SD34	32.6	113.3	0
SD36	31.9	109.7	808
SD39	31.7	112.6	133
SNANK	32.7	109.0	297
SNFUP	35.0	109.1	1100
SNHEY	35.4	110.1	1160
SNHUA	34.4	109.7	876
SNHUY	34.5	110.2	860
SNHZ1	33.0	107.0	553
SNHZH	33.3	107.4	497
SNJYA	34.7	108.8	685
SNLAN	34.1	109.4	740
SNLIN	34.4	109.2	730
SNLIY	34.7	107.8	1027
SNLOX	35.0	106.7	1080
SNLUY	33.4	106.1	676
SNMEI	34.1	107.8	942
SNMIA	33.2	106.8	1151
SNNSH	33.3	108.3	850
SNPCH	35.1	109.4	1010
SNQLI	34.6	108.2	885
SNSHA	33.5	109.9	836
SNSHN	33.5	110.9	461
SNSUD	37.5	110.2	856
SNTAB	34.1	107.3	1710
SNTOC	35.4	109.1	1405
SNXAN	34.0	108.9	630
SNXIX	32.9	107.7	561
SNYAA	36.9	109.3	1138
SNZOZ	34.1	108.3	610
SXANZ	36.2	112.3	900
SXCHZ	36.2	113.2	1030
SXDOS	37.9	112.7	1000
SXHMA	35.6	111.4	540
SXHZH	36.6	111.9	1020
SXJIC	37.7	112.4	840
SXLIC	35.7	113.3	1190
SXLIF	36.1	111.4	500
SXLIS	37.5	111.2	1020
SXLOF	38.0	112.0	1480
SXTAG	37.4	112.6	1720
SXTIY	38.4	113.0	900
SXXAX	35.1	111.2	400
SXXAY	36.7	112.9	1020
SXXIX	36.7	111.0	1100
SXXIY	37.6	113.7	940
SXYAC	35.4	112.4	640
SXYJI	34.8	110.6	500
SXZOQ	37.1	113.4	890
